rho,n_features,n_samples,noise,seed,cond,mean_cv,median_cv,max_cv,n_active,coef_err,spurious,missed
0.0,6,50,0.01,0,1.6539218530364004,0.04705546951080311,0.04705546951080311,0.06770227920785235,2,0.0011605381138652163,0,0
0.0,6,50,0.01,1,1.7012013409807107,0.14850844117538603,0.14850844117538603,0.22289057343514895,2,0.001368725398478777,0,0
0.0,6,50,0.01,2,1.563652989373625,0.4921756568948036,0.4282968971285781,1.0823022626741219,4,0.021010791553406204,2,0
0.0,6,50,0.01,3,1.8826193001522151,0.13911920381456586,0.13911920381456586,0.20508833625022288,2,0.00023410534130803207,0,0
0.9,6,50,0.01,0,5.255384171984661,0.04202217556764733,0.04202217556764733,0.0593526254735454,2,0.0011605381138652163,0,0
0.9,6,50,0.01,1,4.683475912586373,0.07857591480827716,0.07857591480827716,0.08118818024151725,2,0.001368725398478777,0,0
0.9,6,50,0.01,2,4.460350377637851,0.4188784010676975,0.07792028379417758,1.1265994347456065,3,0.031780764574444106,1,0
0.9,6,50,0.01,3,5.499288417500283,0.12928652681612976,0.12928652681612976,0.14946790481225042,2,0.0001265445879311017,0,0
0.99,6,50,0.01,0,17.24555749410276,0.5919693832322044,0.1368500929302267,1.631871929496091,3,0.006118495806817431,1,0
0.99,6,50,0.01,1,15.240846480358568,0.14650947051676388,0.14650947051676388,0.27072775972157204,2,0.0016221849534802308,0,0
0.99,6,50,0.01,2,13.601439060914725,0.3688402749056361,0.26272921180282466,0.8277652858651194,3,0.07193072739234645,1,0
0.99,6,50,0.01,3,16.55362630855801,0.18893311033673185,0.18893311033673185,0.34139097156325365,2,0.0001706312116309381,0,0
0.999,6,50,0.01,0,54.88084052095093,1.2315478622118048,0.35128718654920793,3.3406491567061782,3,0.02141468216771216,1,0
0.999,6,50,0.01,1,48.400228649095794,1.8480348207524704,0.9318222806475914,4.605176914486711,3,0.01969733253637145,1,0
0.999,6,50,0.01,2,42.393789789288014,0.7391967753940839,1.0006340579887838,1.2118120751505257,3,0.21204319602816654,1,0
0.999,6,50,0.01,3,51.35696533245136,0.37427675078938416,0.37427675078938416,0.7367485553781196,2,0.0005655344165037103,0,0
0.9999,6,50,0.01,0,173.7981423213519,9.114664982299834,0.8597866870714006,26.48234478439239,3,0.06996642962105133,1,0
0.9999,6,50,0.01,1,153.18199817455275,6.068128368232127,2.972604073773711,15.228779634476123,3,0.0635028494260762,1,0
0.9999,6,50,0.01,2,133.4182077072245,3.042549616653249,1.3892913165915202,7.736014540744791,3,0.6558038483758606,1,0
0.9999,6,50,0.01,3,161.37756908374624,0.6148103561205372,0.6148103561205372,1.2257163490321277,2,0.0005655344165037405,0,0
0.0,6,50,0.1,0,1.6539218530364004,0.41013378308632614,0.06624831913551307,1.1388064487274554,3,0.013576649975308039,1,0
0.0,6,50,0.1,1,1.7012013409807107,4.2649129447178975,3.844705942839055,9.295650505642026,4,0.01825312763087448,2,0
0.0,6,50,0.1,2,1.563652989373625,0.7967498002840716,0.6232526746949038,1.9066081302181037,4,0.04688411418541879,2,0
0.0,6,50,0.1,3,1.8826193001522151,2.953312079878655,2.6193994409995853,6.500693434984879,4,0.022157621888169717,2,0
0.9,6,50,0.1,0,5.255384171984661,1.2224646106847623,0.8647264220173614,3.134241789650304,4,0.01679761245995004,2,0
0.9,6,50,0.1,1,4.683475912586373,7.679534608619884,1.7203531061331723,34.6395548141935,5,0.02423837635813393,3,0
0.9,6,50,0.1,2,4.460350377637851,0.7361630483213943,0.6928517164853397,1.5112060233405735,4,0.05719150301294984,2,0
0.9,6,50,0.1,3,5.499288417500283,1.9890485118857373,1.9660755274960633,3.912833188018293,4,0.024280894371486117,2,0
0.99,6,50,0.1,0,17.24555749410276,0.7003207566163799,0.14562445078669436,1.936412272366257,3,0.06334666671960508,1,0
0.99,6,50,0.1,1,15.240846480358568,1.8763563098410132,1.4656543832673257,5.3564667526110625,5,0.05276939715345073,3,0
0.99,6,50,0.1,2,13.601439060914725,0.7590194103609083,0.7233826444243834,1.5701415949212854,4,0.09483202570336018,2,0
0.99,6,50,0.1,3,16.55362630855801,21.847416993461003,1.5480112155793642,101.65738558262744,5,0.026560870239177435,3,0
0.999,6,50,0.1,0,54.88084052095093,1.3227448904358101,1.1950542443290697,2.8818725145987734,4,0.21824724438255408,2,0
0.999,6,50,0.1,1,48.400228649095794,2.20454250488139,1.5341552049796983,4.357910234202363,5,0.16176468249104173,3,0
0.999,6,50,0.1,2,42.393789789288014,1.0392717669153486,1.227960753326955,1.6849412898580896,4,0.1376572281704616,2,0
0.999,6,50,0.1,3,51.35696533245136,2.660805781253803,1.3004471185370035,8.315947930560618,5,0.04222773060325248,3,0
0.9999,6,50,0.1,0,173.7981423213519,4.129345281963108,1.3792858810353472,13.739706133463182,4,0.7073916061664757,2,0
0.9999,6,50,0.1,1,153.18199817455275,3.6220083975872663,3.9921790002675692,8.563715387472833,5,0.5198635761161229,3,0
0.9999,6,50,0.1,2,133.4182077072245,4.080109848607489,1.691828212230108,12.92076534191368,4,0.3100597446281369,2,0
0.9999,6,50,0.1,3,161.37756908374624,2.893473129917249,1.2454483294193828,10.071558232054986,5,0.10749735161668685,3,0
0.0,6,100,0.01,0,1.4634206977555348,0.04297120261147378,0.04297120261147378,0.06317467911154545,2,0.0013488453388702552,0,0
0.0,6,100,0.01,1,1.411654960642138,0.029374224171079027,0.029374224171079027,0.03840739851014255,2,0.000819990335727481,0,0
0.0,6,100,0.01,2,1.3220467073229334,0.036280234446411146,0.036280234446411146,0.055595032732355304,2,0.0019544920820094387,0,0
0.0,6,100,0.01,3,1.502349415830757,0.08085077401951593,0.08085077401951593,0.14123033973833876,2,0.00010893132608590045,0,0
0.9,6,100,0.01,0,4.645482554566803,0.05243867273028187,0.05243867273028187,0.07927427357697771,2,0.0014673024827456917,0,0
0.9,6,100,0.01,1,3.863041411094681,0.03154186581810762,0.03154186581810762,0.037831776612151334,2,0.001460314383437988,0,0
0.9,6,100,0.01,2,4.396098416952268,0.060168782935365046,0.060168782935365046,0.07720573683920177,2,0.002357784855391155,0,0
0.9,6,100,0.01,3,4.361774158928512,0.055857925879461284,0.055857925879461284,0.0620726102687373,2,0.00010893132608590045,0,0
0.99,6,100,0.01,0,15.017650320166439,0.13923628225751217,0.13923628225751217,0.2702728899696192,2,0.0014673024827456917,0,0
0.99,6,100,0.01,1,12.277327056725825,0.07794363522893834,0.07794363522893834,0.14751659353769048,2,0.0020855494743996076,0,0
0.99,6,100,0.01,2,14.097991904882091,0.12409695110655371,0.12409695110655371,0.23158479220673117,2,0.0021008869812716947,0,0
0.99,6,100,0.01,3,14.712523960548904,0.0750011351592323,0.0750011351592323,0.13736179627996117,2,0.0001615405716455028,0,0
