rho,n_features,n_samples,noise,seed,cond,mean_cv,median_cv,max_cv,n_active,coef_err,spurious,missed
0.0,6,30,0.01,0,1.8054489354627443,0.12746561344668578,0.12746561344668578,0.203854910317694,2,0.0036542653173646895,0,0
0.0,6,30,0.01,1,2.476775037080757,0.1375604968777263,0.1375604968777263,0.2444864136924312,2,0.001699614511519815,0,0
0.0,6,30,0.01,2,1.832897493957609,0.045763912134291346,0.045763912134291346,0.06188166924781901,2,0.0012601257343420637,0,0
0.0,6,30,0.01,3,1.9959551109455806,0.10820631867133973,0.10820631867133973,0.15117982581426606,2,0.0008079539688761985,0,0
0.0,6,30,0.01,4,2.1880938320726693,0.10213074392091213,0.10213074392091213,0.15134415713909727,2,0.0028890567134119026,0,0
0.0,6,30,0.01,5,1.7999362830149186,0.10545937095277017,0.10545937095277017,0.1896461629165413,2,0.0021462771756775275,0,0
0.0,6,30,0.01,6,1.9235607935716201,0.07972721609799369,0.07972721609799369,0.1377146242700213,2,0.0009875521674468253,0,0
0.0,6,30,0.01,7,2.0214090610125424,0.12689921277792673,0.12689921277792673,0.14859957907411428,2,0.0020394115421275105,0,0
0.99,6,30,0.01,0,19.859957864744864,0.07043144229614769,0.07043144229614769,0.085750664386405,2,0.002883750298775166,0,0
0.99,6,30,0.01,1,13.917214644999644,0.8623663121407654,0.231304738714216,2.3077506993639583,3,0.013472620831783974,1,0
0.99,6,30,0.01,2,13.60151248451835,1.198193443388196,0.3099444300330063,3.278002945814643,3,0.020771095276897425,1,0
0.99,6,30,0.01,3,16.94955990804707,0.21546641497306526,0.21546641497306526,0.40340566700337865,2,0.0007198785419254738,0,0
0.99,6,30,0.01,4,13.805595643972804,0.11616323218369101,0.11616323218369101,0.17911372119594146,2,0.002867264478048362,0,0
0.99,6,30,0.01,5,13.523363439275835,0.409474847206677,0.4294814240833239,0.7440875347373883,3,0.02264929086124261,1,0
0.99,6,30,0.01,6,14.919302871368687,0.60963543847511,0.008763437859313057,1.8133611392577234,3,0.0032033993838072273,1,0
0.99,6,30,0.01,7,14.681889821276354,0.25775262619187467,0.25775262619187467,0.4932856813316346,2,0.0018662166862017091,0,0
0.999,6,30,0.01,0,62.89594853348536,0.11529171216017958,0.11529171216017958,0.2121748642927549,2,0.003962767525653687,0,0
0.999,6,30,0.01,1,44.710538774107526,1.8127742466381074,0.7532916828734382,4.6708548647967145,3,0.05162108836734597,1,0
0.999,6,30,0.01,2,42.75661593292948,1.0133257455370426,0.7848874097297733,2.250507107895736,3,0.06337996980039369,1,0
0.999,6,30,0.01,3,53.4052491266742,0.5214752752460521,0.5214752752460521,1.0339280637078943,2,0.0007147909199027234,0,0
0.999,6,30,0.01,4,44.426942161783465,0.2541738339723511,0.2541738339723511,0.4925317632217314,2,0.0028506298493528605,0,0
0.999,6,30,0.01,5,43.62208740173257,1.3934793944745243,1.0548475134950932,3.109262717279129,3,0.07489379434050573,1,0
0.999,6,30,0.01,6,47.32728350989058,0.6727926592575048,0.05400344744167469,1.9600766470776072,3,0.020903473726864755,1,0
0.999,6,30,0.01,7,47.43552759861976,1.3641160816242321,1.6494583422942275,2.4360099555956363,3,0.010578236955699746,1,0
0.9999,6,30,0.01,0,198.86361283003646,0.30597034321136307,0.30597034321136307,0.605605751487904,2,0.0025167430245992797,0,0
0.9999,6,30,0.01,1,142.18448140295015,5.893540888488654,2.3578947688593432,15.318262045078217,3,0.1646547330136931,1,0
0.9999,6,30,0.01,2,134.9635592922911,1.1862631055042752,1.4285581982800064,2.12638162016338,3,0.1980709659157509,1,0
0.9999,6,30,0.01,3,168.6220054483532,2.8693799088942096,2.1035793716548894,6.502399860339768,3,0.0007153072748267609,1,0
0.9999,6,30,0.01,4,141.2917359715233,2.6195619997807724,1.2482503488339005,6.606449400329725,3,0.01294252394824051,1,0
0.9999,6,30,0.01,5,138.8106152737439,1.6512396733631283,1.506233242852239,3.4426961547133423,3,0.24042101472373006,1,0
0.9999,6,30,0.01,6,149.79928187692283,0.6533044829169351,0.22633226684341065,1.7308778245815983,3,0.06581437157877504,1,0
0.9999,6,30,0.01,7,151.04167734494033,9.549213170211607,3.334694661906332,25.3097974153695,3,0.058549287471496785,1,0
0.99999,6,30,0.01,0,628.7917427834366,0.8052865943379363,0.8052865943379363,1.607539212024756,2,0.0025167430245992797,0,0
0.99999,6,30,0.01,1,450.45401174362587,44.19224764626264,6.872203306686648,125.70240499873002,3,0.45906476756103526,1,0
0.99999,6,30,0.01,2,426.55128177499864,1.3271814353118452,1.9097641096250437,2.067998570187241,3,0.6239896471569574,1,0
0.99999,6,30,0.01,3,532.9485081679388,2.605395755146201,3.0479718083573637,4.76663213629594,3,0.001011649327228451,1,0
0.99999,6,30,0.01,4,447.6128341752277,2.5002492563744787,2.4704493968964605,5.028946122338705,3,0.03845786852692184,1,0
0.99999,6,30,0.01,5,439.82470035994186,1.2476844633062785,1.6664262304530053,2.074489979871717,3,0.7639466581316698,1,0
0.99999,6,30,0.01,6,473.8408057573383,0.9497780685889631,0.9215788153852218,1.9253362795062554,3,0.2078475162619058,1,0
0.99999,6,30,0.01,7,478.68120338365924,3.435456133083889,3.799840964603518,6.503936024095674,3,0.18715268025333912,1,0
0.999999,6,30,0.01,0,1988.3314085562574,1.7062598149682773,1.7062598149682773,3.4102635909971526,2,0.002517279132875094,0,0
0.999999,6,30,0.01,1,1425.2972526231645,53.39627326265659,53.39627326265659,106.79074674922984,2,1.2486403620629034,1,1
0.999999,6,30,0.01,2,1348.6338638902148,1.396678071635292,2.0506377963547884,2.1355293478274056,3,1.6278116712239052,1,0
0.999999,6,30,0.01,3,1685.043485471176,2.7720328121530966,3.7178574286268153,4.596841030505363,3,0.0009119417759890356,1,0
0.999999,6,30,0.01,4,1416.2874278163035,2.7565222029761602,3.587111272659166,4.680877445658652,3,0.11977097155812588,1,0
0.999999,6,30,0.01,5,1391.7152042924838,0.8642071421907576,0.8642071421907576,1.7263893177403238,2,1.2481441433734926,1,1
0.999999,6,30,0.01,6,1498.5490239539047,3.8625448332990966,2.5224241159631924,9.06284062289311,3,0.6569991430673173,1,0
0.999999,6,30,0.01,7,1514.770785713487,2.8667570588151214,3.9790003075395948,4.618633607429202,3,0.5938830398057678,1,0
0.0,6,50,0.01,0,1.6539218530364004,0.04705546951080311,0.04705546951080311,0.06770227920785235,2,0.0011605381138652163,0,0
0.0,6,50,0.01,1,1.7012013409807107,0.14850844117538603,0.14850844117538603,0.22289057343514895,2,0.001368725398478777,0,0
0.0,6,50,0.01,2,1.563652989373625,0.4921756568948036,0.4282968971285781,1.0823022626741219,4,0.021010791553406204,2,0
0.0,6,50,0.01,3,1.8826193001522151,0.13911920381456586,0.13911920381456586,0.20508833625022288,2,0.00023410534130803207,0,0
0.0,6,50,0.01,4,1.7461767315615369,0.09229295633594455,0.09229295633594455,0.16940032572596841,2,0.0014035843216952464,0,0
0.0,6,50,0.01,5,1.9442599820478539,0.043367661458998674,0.043367661458998674,0.06933004131312197,2,0.0017972674220019806,0,0
0.0,6,50,0.01,6,1.8417230201750336,0.07075308779973472,0.07075308779973472,0.09716037317837146,2,0.00045542214263820033,0,0
0.0,6,50,0.01,7,1.7810490100841567,0.10178384709776805,0.10178384709776805,0.17431505113741855,2,0.0011831148188934876,0,0
0.99,6,50,0.01,0,17.24555749410276,0.5919693832322044,0.1368500929302267,1.631871929496091,3,0.006118495806817431,1,0
0.99,6,50,0.01,1,15.240846480358568,0.14650947051676388,0.14650947051676388,0.27072775972157204,2,0.0016221849534802308,0,0
0.99,6,50,0.01,2,13.601439060914725,0.3688402749056361,0.26272921180282466,0.8277652858651194,3,0.07193072739234645,1,0
0.99,6,50,0.01,3,16.55362630855801,0.18893311033673185,0.18893311033673185,0.34139097156325365,2,0.0001706312116309381,0,0
0.99,6,50,0.01,4,18.12118452289746,0.05197725783799309,0.05197725783799309,0.08244237638510826,2,0.0015522898170590362,0,0
0.99,6,50,0.01,5,13.603552299369332,0.5919117602736493,0.5866468536736974,1.1179843811399448,3,0.01942998816473885,1,0
0.99,6,50,0.01,6,15.778683928810258,0.5643943607725269,0.3504027160772456,1.3221748661262438,3,0.02034647551894947,1,0
0.99,6,50,0.01,7,14.127631652053978,0.0700282261218357,0.0700282261218357,0.12644723171433753,2,0.001113525394926841,0,0
0.999,6,50,0.01,0,54.88084052095093,1.2315478622118048,0.35128718654920793,3.3406491567061782,3,0.02141468216771216,1,0
0.999,6,50,0.01,1,48.400228649095794,1.8480348207524704,0.9318222806475914,4.605176914486711,3,0.01969733253637145,1,0
0.999,6,50,0.01,2,42.393789789288014,0.7391967753940839,1.0006340579887838,1.2118120751505257,3,0.21204319602816654,1,0
0.999,6,50,0.01,3,51.35696533245136,0.37427675078938416,0.37427675078938416,0.7367485553781196,2,0.0005655344165037103,0,0
0.999,6,50,0.01,4,57.07446402585534,0.16035306230104346,0.16035306230104346,0.3121445592418573,2,0.0018874393284493975,0,0
0.999,6,50,0.01,5,42.85117508942837,1.8536316505276955,1.5872357936348598,3.9517444066416743,3,0.05939626804588519,1,0
0.999,6,50,0.01,6,49.965087025490064,1.2048797110266098,1.6155254567936574,1.992519067676904,3,0.0681003115336921,1,0
0.999,6,50,0.01,7,44.90028460884398,0.27136711781109196,0.27136711781109196,0.5365191423549242,2,0.0020620234671315835,0,0
0.9999,6,50,0.01,0,173.7981423213519,9.114664982299834,0.8597866870714006,26.48234478439239,3,0.06996642962105133,1,0
