machine,n_cores,N,degree,d,B,n_jobs,refit_s,speedup
arm64-Prathams-MacBook-Pro.local,15,16000,2,27,20,1,0.3275,1.0
arm64-Prathams-MacBook-Pro.local,15,16000,2,27,20,2,0.3393,0.965
arm64-Prathams-MacBook-Pro.local,15,16000,2,27,20,3,0.2788,1.175
arm64-Prathams-MacBook-Pro.local,15,16000,2,27,20,4,0.255,1.284
arm64-Prathams-MacBook-Pro.local,15,16000,2,27,20,5,0.2385,1.373
arm64-Prathams-MacBook-Pro.local,15,16000,2,27,20,6,0.2283,1.435
arm64-Prathams-MacBook-Pro.local,15,16000,2,27,20,8,0.225,1.456
arm64-Prathams-MacBook-Pro.local,15,16000,2,27,20,10,0.2103,1.557
arm64-Prathams-MacBook-Pro.local,15,16000,2,27,20,12,0.2087,1.569
arm64-Prathams-MacBook-Pro.local,15,16000,2,27,20,15,0.203,1.613
arm64-Prathams-MacBook-Pro.local,15,32000,3,83,40,1,3.5884,1.0
arm64-Prathams-MacBook-Pro.local,15,32000,3,83,40,2,2.3571,1.522
arm64-Prathams-MacBook-Pro.local,15,32000,3,83,40,3,1.8729,1.916
arm64-Prathams-MacBook-Pro.local,15,32000,3,83,40,4,1.494,2.402
arm64-Prathams-MacBook-Pro.local,15,32000,3,83,40,5,1.3617,2.635
arm64-Prathams-MacBook-Pro.local,15,32000,3,83,40,6,1.2994,2.762
arm64-Prathams-MacBook-Pro.local,15,32000,3,83,40,8,1.2306,2.916
arm64-Prathams-MacBook-Pro.local,15,32000,3,83,40,10,1.2125,2.96
arm64-Prathams-MacBook-Pro.local,15,32000,3,83,40,12,1.2054,2.977
arm64-Prathams-MacBook-Pro.local,15,32000,3,83,40,15,1.2252,2.929
