machine,n_cores,blas_threads,backend,N,degree,d,B,n_jobs,refit_s,refit_s_p90,hz,hz_p90,speedup
aarch64-jeswanthbattula,6,1,loky,16000,2,27,20,1,1.9902,1.9982,0.502,0.5,1.0
aarch64-jeswanthbattula,6,1,loky,16000,2,27,20,2,1.2303,1.2404,0.813,0.806,1.618
aarch64-jeswanthbattula,6,1,loky,16000,2,27,20,3,0.9132,0.981,1.095,1.019,2.179
aarch64-jeswanthbattula,6,1,loky,16000,2,27,20,4,0.7589,0.8394,1.318,1.191,2.623
aarch64-jeswanthbattula,6,1,loky,16000,2,27,20,5,0.6766,0.7614,1.478,1.313,2.941
aarch64-jeswanthbattula,6,1,loky,16000,2,27,20,6,0.6446,0.6944,1.551,1.44,3.088
aarch64-jeswanthbattula,6,1,threading,16000,2,27,20,1,1.9835,1.9907,0.504,0.502,1.0
aarch64-jeswanthbattula,6,1,threading,16000,2,27,20,2,1.218,1.2682,0.821,0.789,1.628
aarch64-jeswanthbattula,6,1,threading,16000,2,27,20,3,1.0731,1.1046,0.932,0.905,1.848
aarch64-jeswanthbattula,6,1,threading,16000,2,27,20,4,0.9931,1.03,1.007,0.971,1.997
aarch64-jeswanthbattula,6,1,threading,16000,2,27,20,5,0.9565,0.9865,1.045,1.014,2.074
aarch64-jeswanthbattula,6,1,threading,16000,2,27,20,6,0.9662,0.9881,1.035,1.012,2.053
aarch64-jeswanthbattula,6,1,loky,32000,3,83,40,1,24.2781,24.4425,0.041,0.041,1.0
aarch64-jeswanthbattula,6,1,loky,32000,3,83,40,2,13.8101,13.8536,0.072,0.072,1.758
aarch64-jeswanthbattula,6,1,loky,32000,3,83,40,3,10.3911,10.4335,0.096,0.096,2.336
aarch64-jeswanthbattula,6,1,loky,32000,3,83,40,4,9.4817,9.5856,0.105,0.104,2.561
aarch64-jeswanthbattula,6,1,loky,32000,3,83,40,5,7.7997,7.8998,0.128,0.127,3.113
aarch64-jeswanthbattula,6,1,loky,32000,3,83,40,6,7.8267,7.8897,0.128,0.127,3.102
aarch64-jeswanthbattula,6,1,threading,32000,3,83,40,1,24.0586,24.1367,0.042,0.041,1.0
aarch64-jeswanthbattula,6,1,threading,32000,3,83,40,2,13.2214,13.394,0.076,0.075,1.82
aarch64-jeswanthbattula,6,1,threading,32000,3,83,40,3,10.1261,10.3633,0.099,0.096,2.376
aarch64-jeswanthbattula,6,1,threading,32000,3,83,40,4,9.3491,9.6526,0.107,0.104,2.573
aarch64-jeswanthbattula,6,1,threading,32000,3,83,40,5,7.7889,7.9869,0.128,0.125,3.089
aarch64-jeswanthbattula,6,1,threading,32000,3,83,40,6,7.7494,7.9277,0.129,0.126,3.105
