machine,n_cores,blas_threads,backend,N,degree,d,B,n_jobs,refit_s,refit_s_p90,hz,hz_p90,speedup
aarch64-jeswanthbattula,6,unset,loky,16000,2,27,20,1,2.169,2.2556,0.461,0.443,1.0
aarch64-jeswanthbattula,6,unset,loky,16000,2,27,20,2,1.4211,1.5352,0.704,0.651,1.526
aarch64-jeswanthbattula,6,unset,loky,16000,2,27,20,3,0.9365,1.0864,1.068,0.92,2.316
aarch64-jeswanthbattula,6,unset,loky,16000,2,27,20,4,0.721,0.8405,1.387,1.19,3.008
aarch64-jeswanthbattula,6,unset,loky,16000,2,27,20,5,0.721,0.7679,1.387,1.302,3.008
aarch64-jeswanthbattula,6,unset,loky,16000,2,27,20,6,0.6432,0.6999,1.555,1.429,3.372
aarch64-jeswanthbattula,6,unset,threading,16000,2,27,20,1,2.1645,2.2289,0.462,0.449,1.0
aarch64-jeswanthbattula,6,unset,threading,16000,2,27,20,2,1.9874,2.254,0.503,0.444,1.089
aarch64-jeswanthbattula,6,unset,threading,16000,2,27,20,3,1.9468,2.2283,0.514,0.449,1.112
aarch64-jeswanthbattula,6,unset,threading,16000,2,27,20,4,1.7847,2.1744,0.56,0.46,1.213
aarch64-jeswanthbattula,6,unset,threading,16000,2,27,20,5,1.6508,2.1607,0.606,0.463,1.311
aarch64-jeswanthbattula,6,unset,threading,16000,2,27,20,6,1.6496,1.9214,0.606,0.52,1.312
aarch64-jeswanthbattula,6,unset,loky,32000,3,83,40,1,18.0144,18.1811,0.056,0.055,1.0
aarch64-jeswanthbattula,6,unset,loky,32000,3,83,40,2,11.8748,12.3983,0.084,0.081,1.517
aarch64-jeswanthbattula,6,unset,loky,32000,3,83,40,3,9.5089,10.1972,0.105,0.098,1.894
aarch64-jeswanthbattula,6,unset,loky,32000,3,83,40,4,9.1874,9.5517,0.109,0.105,1.961
aarch64-jeswanthbattula,6,unset,loky,32000,3,83,40,5,7.7957,7.9825,0.128,0.125,2.311
aarch64-jeswanthbattula,6,unset,loky,32000,3,83,40,6,7.7603,7.9683,0.129,0.125,2.321
aarch64-jeswanthbattula,6,unset,threading,32000,3,83,40,1,17.9688,18.3988,0.056,0.054,1.0
aarch64-jeswanthbattula,6,unset,threading,32000,3,83,40,2,19.6297,22.8155,0.051,0.044,0.915
aarch64-jeswanthbattula,6,unset,threading,32000,3,83,40,3,22.1858,25.7683,0.045,0.039,0.81
aarch64-jeswanthbattula,6,unset,threading,32000,3,83,40,4,25.1322,36.4946,0.04,0.027,0.715
aarch64-jeswanthbattula,6,unset,threading,32000,3,83,40,5,35.4374,44.5654,0.028,0.022,0.507
aarch64-jeswanthbattula,6,unset,threading,32000,3,83,40,6,38.6554,48.063,0.026,0.021,0.465
