machine,n_cores,blas_threads,backend,N,degree,d,B,n_jobs,refit_s,refit_s_p90,hz,hz_p90,speedup
arm64-Prathams-MacBook-Pro.local,15,1,loky,16000,2,27,20,1,0.3102,0.3133,3.224,3.191,1.0
arm64-Prathams-MacBook-Pro.local,15,1,loky,16000,2,27,20,2,0.3033,0.3228,3.297,3.098,1.023
arm64-Prathams-MacBook-Pro.local,15,1,loky,16000,2,27,20,3,0.2562,0.2731,3.903,3.662,1.211
arm64-Prathams-MacBook-Pro.local,15,1,loky,16000,2,27,20,4,0.2371,0.2568,4.218,3.894,1.309
arm64-Prathams-MacBook-Pro.local,15,1,loky,16000,2,27,20,5,0.2349,0.2439,4.256,4.1,1.32
arm64-Prathams-MacBook-Pro.local,15,1,loky,16000,2,27,20,6,0.2128,0.2319,4.699,4.312,1.458
arm64-Prathams-MacBook-Pro.local,15,1,loky,16000,2,27,20,8,0.2005,0.2202,4.987,4.541,1.547
arm64-Prathams-MacBook-Pro.local,15,1,loky,16000,2,27,20,10,0.1975,0.2164,5.064,4.62,1.571
arm64-Prathams-MacBook-Pro.local,15,1,loky,16000,2,27,20,12,0.1939,0.8326,5.158,1.201,1.6
arm64-Prathams-MacBook-Pro.local,15,1,loky,16000,2,27,20,15,0.1876,0.4797,5.332,2.085,1.654
arm64-Prathams-MacBook-Pro.local,15,1,threading,16000,2,27,20,1,0.3122,0.3174,3.203,3.15,1.0
arm64-Prathams-MacBook-Pro.local,15,1,threading,16000,2,27,20,2,0.2208,0.2347,4.529,4.261,1.414
arm64-Prathams-MacBook-Pro.local,15,1,threading,16000,2,27,20,3,0.2074,0.214,4.822,4.672,1.505
arm64-Prathams-MacBook-Pro.local,15,1,threading,16000,2,27,20,4,0.1943,0.2039,5.146,4.905,1.607
arm64-Prathams-MacBook-Pro.local,15,1,threading,16000,2,27,20,5,0.1867,0.1981,5.355,5.047,1.672
arm64-Prathams-MacBook-Pro.local,15,1,threading,16000,2,27,20,6,0.1894,0.2005,5.28,4.986,1.649
arm64-Prathams-MacBook-Pro.local,15,1,threading,16000,2,27,20,8,0.187,0.1929,5.347,5.185,1.669
arm64-Prathams-MacBook-Pro.local,15,1,threading,16000,2,27,20,10,0.179,0.1875,5.587,5.332,1.744
arm64-Prathams-MacBook-Pro.local,15,1,threading,16000,2,27,20,12,0.1769,0.1864,5.652,5.366,1.765
arm64-Prathams-MacBook-Pro.local,15,1,threading,16000,2,27,20,15,0.1747,0.1867,5.724,5.355,1.787
arm64-Prathams-MacBook-Pro.local,15,1,loky,32000,3,83,40,1,3.5474,3.5882,0.282,0.279,1.0
arm64-Prathams-MacBook-Pro.local,15,1,loky,32000,3,83,40,2,2.3556,2.4564,0.425,0.407,1.506
arm64-Prathams-MacBook-Pro.local,15,1,loky,32000,3,83,40,3,1.7872,1.8381,0.56,0.544,1.985
arm64-Prathams-MacBook-Pro.local,15,1,loky,32000,3,83,40,4,1.4941,1.5622,0.669,0.64,2.374
arm64-Prathams-MacBook-Pro.local,15,1,loky,32000,3,83,40,5,1.362,1.4104,0.734,0.709,2.605
arm64-Prathams-MacBook-Pro.local,15,1,loky,32000,3,83,40,6,1.2565,1.2872,0.796,0.777,2.823
arm64-Prathams-MacBook-Pro.local,15,1,loky,32000,3,83,40,8,1.1853,1.2093,0.844,0.827,2.993
arm64-Prathams-MacBook-Pro.local,15,1,loky,32000,3,83,40,10,1.181,1.2046,0.847,0.83,3.004
arm64-Prathams-MacBook-Pro.local,15,1,loky,32000,3,83,40,12,1.1881,1.2113,0.842,0.826,2.986
arm64-Prathams-MacBook-Pro.local,15,1,loky,32000,3,83,40,15,1.1996,1.2088,0.834,0.827,2.957
arm64-Prathams-MacBook-Pro.local,15,1,threading,32000,3,83,40,1,3.6526,3.6799,0.274,0.272,1.0
arm64-Prathams-MacBook-Pro.local,15,1,threading,32000,3,83,40,2,2.4569,2.5057,0.407,0.399,1.487
arm64-Prathams-MacBook-Pro.local,15,1,threading,32000,3,83,40,3,1.9024,1.94,0.526,0.515,1.92
arm64-Prathams-MacBook-Pro.local,15,1,threading,32000,3,83,40,4,1.5825,1.6009,0.632,0.625,2.308
arm64-Prathams-MacBook-Pro.local,15,1,threading,32000,3,83,40,5,1.4296,1.4644,0.699,0.683,2.555
arm64-Prathams-MacBook-Pro.local,15,1,threading,32000,3,83,40,6,1.3382,1.3557,0.747,0.738,2.729
arm64-Prathams-MacBook-Pro.local,15,1,threading,32000,3,83,40,8,1.2966,1.3295,0.771,0.752,2.817
arm64-Prathams-MacBook-Pro.local,15,1,threading,32000,3,83,40,10,1.42,1.4564,0.704,0.687,2.572
arm64-Prathams-MacBook-Pro.local,15,1,threading,32000,3,83,40,12,1.3714,1.4465,0.729,0.691,2.663
arm64-Prathams-MacBook-Pro.local,15,1,threading,32000,3,83,40,15,1.4037,1.4565,0.712,0.687,2.602
