machine,n_cores,blas_threads,backend,N,degree,d,B,n_jobs,refit_s,refit_s_p90,hz,hz_p90,speedup
arm64-Prathams-MacBook-Pro.local,15,unset,loky,16000,2,27,20,1,0.3325,0.3364,3.008,2.973,1.0
arm64-Prathams-MacBook-Pro.local,15,unset,loky,16000,2,27,20,2,0.3309,0.3516,3.022,2.844,1.005
arm64-Prathams-MacBook-Pro.local,15,unset,loky,16000,2,27,20,3,0.28,0.2969,3.571,3.368,1.187
arm64-Prathams-MacBook-Pro.local,15,unset,loky,16000,2,27,20,4,0.2494,0.2722,4.01,3.674,1.333
arm64-Prathams-MacBook-Pro.local,15,unset,loky,16000,2,27,20,5,0.2412,0.2579,4.146,3.877,1.379
arm64-Prathams-MacBook-Pro.local,15,unset,loky,16000,2,27,20,6,0.224,0.2455,4.465,4.073,1.485
arm64-Prathams-MacBook-Pro.local,15,unset,loky,16000,2,27,20,8,0.208,0.2321,4.808,4.308,1.598
arm64-Prathams-MacBook-Pro.local,15,unset,loky,16000,2,27,20,10,0.2054,0.5035,4.87,1.986,1.619
arm64-Prathams-MacBook-Pro.local,15,unset,loky,16000,2,27,20,12,0.2061,0.4909,4.852,2.037,1.613
arm64-Prathams-MacBook-Pro.local,15,unset,loky,16000,2,27,20,15,0.1958,0.8854,5.108,1.129,1.698
arm64-Prathams-MacBook-Pro.local,15,unset,threading,16000,2,27,20,1,0.3347,0.3368,2.988,2.969,1.0
arm64-Prathams-MacBook-Pro.local,15,unset,threading,16000,2,27,20,2,0.2313,0.2404,4.323,4.159,1.447
arm64-Prathams-MacBook-Pro.local,15,unset,threading,16000,2,27,20,3,0.2094,0.2231,4.775,4.483,1.598
arm64-Prathams-MacBook-Pro.local,15,unset,threading,16000,2,27,20,4,0.1945,0.2073,5.141,4.824,1.721
arm64-Prathams-MacBook-Pro.local,15,unset,threading,16000,2,27,20,5,0.1909,0.2009,5.238,4.978,1.753
arm64-Prathams-MacBook-Pro.local,15,unset,threading,16000,2,27,20,6,0.1904,0.2044,5.253,4.891,1.758
arm64-Prathams-MacBook-Pro.local,15,unset,threading,16000,2,27,20,8,0.1823,0.1961,5.485,5.1,1.836
arm64-Prathams-MacBook-Pro.local,15,unset,threading,16000,2,27,20,10,0.1786,0.1942,5.598,5.149,1.874
arm64-Prathams-MacBook-Pro.local,15,unset,threading,16000,2,27,20,12,0.1798,0.1941,5.561,5.151,1.861
arm64-Prathams-MacBook-Pro.local,15,unset,threading,16000,2,27,20,15,0.1861,0.1927,5.372,5.189,1.798
arm64-Prathams-MacBook-Pro.local,15,unset,loky,32000,3,83,40,1,3.5644,3.5731,0.281,0.28,1.0
arm64-Prathams-MacBook-Pro.local,15,unset,loky,32000,3,83,40,2,2.4157,2.4524,0.414,0.408,1.476
arm64-Prathams-MacBook-Pro.local,15,unset,loky,32000,3,83,40,3,1.7689,1.8572,0.565,0.538,2.015
arm64-Prathams-MacBook-Pro.local,15,unset,loky,32000,3,83,40,4,1.5166,1.5987,0.659,0.625,2.35
arm64-Prathams-MacBook-Pro.local,15,unset,loky,32000,3,83,40,5,1.3483,1.3908,0.742,0.719,2.644
arm64-Prathams-MacBook-Pro.local,15,unset,loky,32000,3,83,40,6,1.3583,1.3812,0.736,0.724,2.624
arm64-Prathams-MacBook-Pro.local,15,unset,loky,32000,3,83,40,8,1.1972,1.2633,0.835,0.792,2.977
arm64-Prathams-MacBook-Pro.local,15,unset,loky,32000,3,83,40,10,1.1968,1.2141,0.836,0.824,2.978
arm64-Prathams-MacBook-Pro.local,15,unset,loky,32000,3,83,40,12,1.1935,1.2153,0.838,0.823,2.987
arm64-Prathams-MacBook-Pro.local,15,unset,loky,32000,3,83,40,15,1.1923,1.2212,0.839,0.819,2.989
arm64-Prathams-MacBook-Pro.local,15,unset,threading,32000,3,83,40,1,3.583,3.6013,0.279,0.278,1.0
arm64-Prathams-MacBook-Pro.local,15,unset,threading,32000,3,83,40,2,2.4173,2.4557,0.414,0.407,1.482
arm64-Prathams-MacBook-Pro.local,15,unset,threading,32000,3,83,40,3,1.8662,1.9169,0.536,0.522,1.92
arm64-Prathams-MacBook-Pro.local,15,unset,threading,32000,3,83,40,4,1.5612,1.6077,0.641,0.622,2.295
arm64-Prathams-MacBook-Pro.local,15,unset,threading,32000,3,83,40,5,1.4463,1.4964,0.691,0.668,2.477
arm64-Prathams-MacBook-Pro.local,15,unset,threading,32000,3,83,40,6,1.3502,1.4398,0.741,0.695,2.654
arm64-Prathams-MacBook-Pro.local,15,unset,threading,32000,3,83,40,8,1.4244,1.4921,0.702,0.67,2.515
arm64-Prathams-MacBook-Pro.local,15,unset,threading,32000,3,83,40,10,1.3886,1.4113,0.72,0.709,2.58
arm64-Prathams-MacBook-Pro.local,15,unset,threading,32000,3,83,40,12,1.3791,1.4276,0.725,0.7,2.598
arm64-Prathams-MacBook-Pro.local,15,unset,threading,32000,3,83,40,15,1.4046,1.4441,0.712,0.692,2.551
