machine,N,degree,d,B,refit_s,hz,mode
macOS-26.5.1-arm64-arm-64bit | arm,1000,2,27,5,0.014328,69.7922,sequential
macOS-26.5.1-arm64-arm-64bit | arm,1000,2,27,10,0.02743,36.4567,sequential
macOS-26.5.1-arm64-arm-64bit | arm,1000,2,27,20,0.054363,18.395,sequential
macOS-26.5.1-arm64-arm-64bit | arm,1000,2,27,40,0.108865,9.1857,sequential
macOS-26.5.1-arm64-arm-64bit | arm,1000,3,83,5,0.027863,35.8895,sequential
macOS-26.5.1-arm64-arm-64bit | arm,1000,3,83,10,0.05539,18.0537,sequential
macOS-26.5.1-arm64-arm-64bit | arm,1000,3,83,20,0.110025,9.0888,sequential
macOS-26.5.1-arm64-arm-64bit | arm,1000,3,83,40,0.216933,4.6097,sequential
macOS-26.5.1-arm64-arm-64bit | arm,2000,2,27,5,0.019114,52.3182,sequential
macOS-26.5.1-arm64-arm-64bit | arm,2000,2,27,10,0.037962,26.3418,sequential
macOS-26.5.1-arm64-arm-64bit | arm,2000,2,27,20,0.074703,13.3863,sequential
macOS-26.5.1-arm64-arm-64bit | arm,2000,2,27,40,0.145939,6.8522,sequential
macOS-26.5.1-arm64-arm-64bit | arm,2000,3,83,5,0.040752,24.5387,sequential
macOS-26.5.1-arm64-arm-64bit | arm,2000,3,83,10,0.079322,12.6069,sequential
macOS-26.5.1-arm64-arm-64bit | arm,2000,3,83,20,0.166388,6.01,sequential
macOS-26.5.1-arm64-arm-64bit | arm,2000,3,83,40,0.334555,2.989,sequential
macOS-26.5.1-arm64-arm-64bit | arm,4000,2,27,5,0.029163,34.2899,sequential
macOS-26.5.1-arm64-arm-64bit | arm,4000,2,27,10,0.057638,17.3496,sequential
macOS-26.5.1-arm64-arm-64bit | arm,4000,2,27,20,0.107806,9.2759,sequential
macOS-26.5.1-arm64-arm-64bit | arm,4000,2,27,40,0.219024,4.5657,sequential
macOS-26.5.1-arm64-arm-64bit | arm,4000,3,83,5,0.069987,14.2885,sequential
macOS-26.5.1-arm64-arm-64bit | arm,4000,3,83,10,0.143541,6.9667,sequential
macOS-26.5.1-arm64-arm-64bit | arm,4000,3,83,20,0.282392,3.5412,sequential
macOS-26.5.1-arm64-arm-64bit | arm,4000,3,83,40,0.572037,1.7481,sequential
macOS-26.5.1-arm64-arm-64bit | arm,8000,2,27,5,0.056577,17.6752,sequential
macOS-26.5.1-arm64-arm-64bit | arm,8000,2,27,10,0.107105,9.3366,sequential
macOS-26.5.1-arm64-arm-64bit | arm,8000,2,27,20,0.193231,5.1752,sequential
macOS-26.5.1-arm64-arm-64bit | arm,8000,2,27,40,0.385663,2.5929,sequential
macOS-26.5.1-arm64-arm-64bit | arm,8000,3,83,5,0.138279,7.2318,sequential
macOS-26.5.1-arm64-arm-64bit | arm,8000,3,83,10,0.280458,3.5656,sequential
macOS-26.5.1-arm64-arm-64bit | arm,8000,3,83,20,0.536837,1.8628,sequential
macOS-26.5.1-arm64-arm-64bit | arm,8000,3,83,40,1.035442,0.9658,sequential
macOS-26.5.1-arm64-arm-64bit | arm,16000,2,27,5,0.0978,10.2249,sequential
macOS-26.5.1-arm64-arm-64bit | arm,16000,2,27,10,0.187106,5.3446,sequential
macOS-26.5.1-arm64-arm-64bit | arm,16000,2,27,20,0.363698,2.7495,sequential
macOS-26.5.1-arm64-arm-64bit | arm,16000,2,27,40,0.728164,1.3733,sequential
macOS-26.5.1-arm64-arm-64bit | arm,16000,3,83,5,0.226757,4.41,sequential
macOS-26.5.1-arm64-arm-64bit | arm,16000,3,83,10,0.470299,2.1263,sequential
macOS-26.5.1-arm64-arm-64bit | arm,16000,3,83,20,0.890918,1.1224,sequential
macOS-26.5.1-arm64-arm-64bit | arm,16000,3,83,40,1.705635,0.5863,sequential
macOS-26.5.1-arm64-arm-64bit | arm,32000,2,27,5,0.169804,5.8892,sequential
macOS-26.5.1-arm64-arm-64bit | arm,32000,2,27,10,0.352989,2.833,sequential
macOS-26.5.1-arm64-arm-64bit | arm,32000,2,27,20,0.76904,1.3003,sequential
macOS-26.5.1-arm64-arm-64bit | arm,32000,2,27,40,1.608534,0.6217,sequential
macOS-26.5.1-arm64-arm-64bit | arm,32000,3,83,5,0.549413,1.8201,sequential
macOS-26.5.1-arm64-arm-64bit | arm,32000,3,83,10,1.002474,0.9975,sequential
macOS-26.5.1-arm64-arm-64bit | arm,32000,3,83,20,2.025651,0.4937,sequential
macOS-26.5.1-arm64-arm-64bit | arm,32000,3,83,40,3.992731,0.2505,sequential
