machine,N,degree,d,B,refit_s,hz,mode
macOS-26.5.1-arm64-arm-64bit | arm,1000,2,27,5,0.013449,74.3541,sequential
macOS-26.5.1-arm64-arm-64bit | arm,1000,2,27,10,0.026301,38.0219,sequential
macOS-26.5.1-arm64-arm-64bit | arm,1000,2,27,20,0.04948,20.21,sequential
macOS-26.5.1-arm64-arm-64bit | arm,1000,2,27,40,0.099337,10.0667,sequential
macOS-26.5.1-arm64-arm-64bit | arm,1000,3,83,5,0.025324,39.4889,sequential
macOS-26.5.1-arm64-arm-64bit | arm,1000,3,83,10,0.049482,20.2093,sequential
macOS-26.5.1-arm64-arm-64bit | arm,1000,3,83,20,0.093523,10.6926,sequential
macOS-26.5.1-arm64-arm-64bit | arm,1000,3,83,40,0.186871,5.3513,sequential
macOS-26.5.1-arm64-arm-64bit | arm,2000,2,27,5,0.015989,62.5448,sequential
macOS-26.5.1-arm64-arm-64bit | arm,2000,2,27,10,0.034141,29.2899,sequential
macOS-26.5.1-arm64-arm-64bit | arm,2000,2,27,20,0.063338,15.7883,sequential
macOS-26.5.1-arm64-arm-64bit | arm,2000,2,27,40,0.126182,7.9251,sequential
macOS-26.5.1-arm64-arm-64bit | arm,2000,3,83,5,0.037259,26.8389,sequential
macOS-26.5.1-arm64-arm-64bit | arm,2000,3,83,10,0.071559,13.9746,sequential
macOS-26.5.1-arm64-arm-64bit | arm,2000,3,83,20,0.15247,6.5587,sequential
macOS-26.5.1-arm64-arm-64bit | arm,2000,3,83,40,0.286875,3.4858,sequential
macOS-26.5.1-arm64-arm-64bit | arm,4000,2,27,5,0.024689,40.5045,sequential
macOS-26.5.1-arm64-arm-64bit | arm,4000,2,27,10,0.044945,22.2492,sequential
macOS-26.5.1-arm64-arm-64bit | arm,4000,2,27,20,0.089942,11.1182,sequential
macOS-26.5.1-arm64-arm-64bit | arm,4000,2,27,40,0.185812,5.3818,sequential
macOS-26.5.1-arm64-arm-64bit | arm,4000,3,83,5,0.064164,15.5851,sequential
macOS-26.5.1-arm64-arm-64bit | arm,4000,3,83,10,0.125701,7.9554,sequential
macOS-26.5.1-arm64-arm-64bit | arm,4000,3,83,20,0.327198,3.0563,sequential
macOS-26.5.1-arm64-arm-64bit | arm,4000,3,83,40,0.483367,2.0688,sequential
macOS-26.5.1-arm64-arm-64bit | arm,8000,2,27,5,0.040704,24.5677,sequential
macOS-26.5.1-arm64-arm-64bit | arm,8000,2,27,10,0.082976,12.0516,sequential
macOS-26.5.1-arm64-arm-64bit | arm,8000,2,27,20,0.15518,6.4441,sequential
macOS-26.5.1-arm64-arm-64bit | arm,8000,2,27,40,0.336234,2.9741,sequential
macOS-26.5.1-arm64-arm-64bit | arm,8000,3,83,5,0.143638,6.962,sequential
macOS-26.5.1-arm64-arm-64bit | arm,8000,3,83,10,0.251767,3.9719,sequential
macOS-26.5.1-arm64-arm-64bit | arm,8000,3,83,20,0.495272,2.0191,sequential
macOS-26.5.1-arm64-arm-64bit | arm,8000,3,83,40,1.144198,0.874,sequential
macOS-26.5.1-arm64-arm-64bit | arm,16000,2,27,5,0.107669,9.2877,sequential
macOS-26.5.1-arm64-arm-64bit | arm,16000,2,27,10,0.21179,4.7217,sequential
macOS-26.5.1-arm64-arm-64bit | arm,16000,2,27,20,0.428679,2.3327,sequential
macOS-26.5.1-arm64-arm-64bit | arm,16000,2,27,40,0.628153,1.592,sequential
macOS-26.5.1-arm64-arm-64bit | arm,16000,3,83,5,0.260816,3.8341,sequential
macOS-26.5.1-arm64-arm-64bit | arm,16000,3,83,10,0.462816,2.1607,sequential
macOS-26.5.1-arm64-arm-64bit | arm,16000,3,83,20,0.756501,1.3219,sequential
macOS-26.5.1-arm64-arm-64bit | arm,16000,3,83,40,1.447239,0.691,sequential
macOS-26.5.1-arm64-arm-64bit | arm,32000,2,27,5,0.149202,6.7023,sequential
macOS-26.5.1-arm64-arm-64bit | arm,32000,2,27,10,0.278749,3.5875,sequential
macOS-26.5.1-arm64-arm-64bit | arm,32000,2,27,20,0.576743,1.7339,sequential
macOS-26.5.1-arm64-arm-64bit | arm,32000,2,27,40,1.25882,0.7944,sequential
macOS-26.5.1-arm64-arm-64bit | arm,32000,3,83,5,0.494631,2.0217,sequential
macOS-26.5.1-arm64-arm-64bit | arm,32000,3,83,10,0.888138,1.126,sequential
macOS-26.5.1-arm64-arm-64bit | arm,32000,3,83,20,1.585656,0.6307,sequential
macOS-26.5.1-arm64-arm-64bit | arm,32000,3,83,40,3.160586,0.3164,sequential
